organization_id,tenant_id,allotment_id,source_table,invoice_id,invoice_date,invoice_amount,amount_settled,amount_outstanding,settlement_status
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,invoices,7550925a-9eba-430c-928d-76d65aaeeddf,2025-08-01,5500.00,5500.00,0.00,paid
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,invoices,9b27df5a-5e31-434d-be5c-afd93e9dc920,2025-08-25,2250.00,2250.00,0.00,paid
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,invoices,4f1c9da6-dce7-48da-8e78-d78981831ff5,2025-09-01,726.00,726.00,0.00,paid
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,98a505a9-d139-431f-b01e-b943795f434d,invoices,cf1aab4c-477f-4fa3-8343-fe3406560ec6,2025-06-01,10626.00,10626.00,0.00,paid
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,98a505a9-d139-431f-b01e-b943795f434d,invoices,05e804bf-d97e-452a-a051-ab4e71ac77dd,2025-06-08,1000.00,1000.00,0.00,paid
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,98a505a9-d139-431f-b01e-b943795f434d,invoices,b3cebdc8-3749-4745-97de-074465e5239e,2025-06-25,4000.00,4000.00,0.00,paid
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,98a505a9-d139-431f-b01e-b943795f434d,invoices,88c12499-e150-49d4-a9ed-4c9e4d0399d3,2025-07-01,6525.00,6525.00,0.00,paid
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,98a505a9-d139-431f-b01e-b943795f434d,invoices,dd4b52d7-8147-40c6-8d57-585fd947b3e3,2025-08-01,880.00,880.00,0.00,paid
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,c2533594-7bef-485f-9c06-e515153c4d3b,invoices,c7bbfc60-e92e-4c72-a18f-2e7f1df13f91,2025-07-01,9823.00,9823.00,0.00,paid
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,c2533594-7bef-485f-9c06-e515153c4d3b,invoices,5d6c4ca2-16f0-4e4b-a022-6643271c8caa,2025-08-01,10741.00,10741.00,0.00,paid
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,c2533594-7bef-485f-9c06-e515153c4d3b,invoices,053fd11b-db56-4750-b468-9a1ac11909e2,2025-08-08,1.00,1.00,0.00,paid
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,c2533594-7bef-485f-9c06-e515153c4d3b,invoices,e1c60705-4b77-414f-8d5d-7a430979ccda,2025-09-01,1320.00,1320.00,0.00,paid
00000000-0000-0000-0000-000000000001,00ff5468-3680-2a12-23e4-82855ab3c697,4b303935-cf4d-4555-a274-6c5947063ef3,invoices,323c0cb5-3ae7-4898-b4c6-00c52a7196e9,2026-01-01,2806.00,2806.00,0.00,paid
00000000-0000-0000-0000-000000000001,00ff5468-3680-2a12-23e4-82855ab3c697,4b303935-cf4d-4555-a274-6c5947063ef3,invoices,e71130ac-1fb9-446b-8ba9-b9b92d2bd6be,2026-02-01,14698.00,14698.00,0.00,paid
00000000-0000-0000-0000-000000000001,00ff5468-3680-2a12-23e4-82855ab3c697,4b303935-cf4d-4555-a274-6c5947063ef3,invoices,98636940-9de8-4e96-a571-7aae4a08efa8,2026-03-01,15424.00,15424.00,0.00,paid
00000000-0000-0000-0000-000000000001,00ff5468-3680-2a12-23e4-82855ab3c697,4b303935-cf4d-4555-a274-6c5947063ef3,invoices,b4a4cc62-5354-4d91-8def-d8e41ea7986e,2026-04-01,15740.00,15740.00,0.00,paid
00000000-0000-0000-0000-000000000001,00ff5468-3680-2a12-23e4-82855ab3c697,4b303935-cf4d-4555-a274-6c5947063ef3,invoices,07fed98d-22f8-4112-9f46-42df861edfb3,2026-05-01,16030.00,16030.00,0.00,paid
00000000-0000-0000-0000-000000000001,00ff5468-3680-2a12-23e4-82855ab3c697,4b303935-cf4d-4555-a274-6c5947063ef3,invoices,f236deea-7c9c-4ebc-8161-33049185fa90,2026-06-01,17258.00,17258.00,0.00,paid
00000000-0000-0000-0000-000000000001,00ff5468-3680-2a12-23e4-82855ab3c697,4b303935-cf4d-4555-a274-6c5947063ef3,invoices,f236deea-7c9c-4ebc-8161-33049185fa90,2026-06-01,16943.00,16943.00,0.00,paid
00000000-0000-0000-0000-000000000001,011b7d1c-5697-5394-c05b-fa0473640657,261c6838-0d2b-4ef8-b7c0-722341418ce5,invoices,7b196544-894e-463a-a951-cfa33df41d12,2025-12-01,6742.00,6742.00,0.00,paid
00000000-0000-0000-0000-000000000001,011b7d1c-5697-5394-c05b-fa0473640657,261c6838-0d2b-4ef8-b7c0-722341418ce5,invoices,8da01f0c-be90-4507-a366-807e4604b6cd,2026-01-01,19319.00,19319.00,0.00,paid
