id,organization_id,maintenance_ticket_id,maintenance_item_id,stock_entry_id,quantity_used,cost_per_unit,total_cost,usage_source,remarks,created_by,created_at
f6f047fa-8c17-4d4a-9dea-a774dcddffa0,00000000-0000-0000-0000-000000000001,1a7ff493-ce01-4c1a-b20d-7b9d7aa55994,104c409f-72c3-4569-9f20-250a07c28f27,e509ec5f-c8d7-4ff1-af33-c771c898db66,1,8001500,8001500,new_purchase,Purchased new and consumed in resolution,e4897d45-cba7-4d8a-ade0-d6014ccba68d,2026-04-24 13:07:59.03849+00
216951c5-502a-4fc3-838a-8b90aad3de19,00000000-0000-0000-0000-000000000001,2d713c73-7e76-4895-a544-5c78e46173fb,2c334f29-895e-4c3b-a26a-b68cc4ec9f39,8751c0f4-d262-4a8f-8288-ce9b00a9be3f,1,300,300,new_purchase,Purchased new and consumed in resolution,e4897d45-cba7-4d8a-ade0-d6014ccba68d,2026-04-24 13:15:00.894193+00
485dc4ff-0436-40b0-82a7-84c2744d1810,00000000-0000-0000-0000-000000000001,2d713c73-7e76-4895-a544-5c78e46173fb,2c334f29-895e-4c3b-a26a-b68cc4ec9f39,47867016-f070-4558-b39f-1a619b71de39,1,300,300,new_purchase,Purchased new and consumed in resolution,e4897d45-cba7-4d8a-ade0-d6014ccba68d,2026-04-24 13:24:40.264975+00
8013b308-6164-47d8-99e2-05f4c9691ceb,00000000-0000-0000-0000-000000000001,6bc1941f-b4b3-4f5e-8b26-8d0ed2d7ac25,88cf5349-74f4-4ebb-9d19-0cfc011d3bd8,ae2c047e-38b3-4615-9c6d-1e04f30cbd72,1,8001500,8001500,new_purchase,Purchased new and consumed in resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-25 13:55:11.458765+00
82a15385-d4e2-4cda-84ef-f0ca7c2009d9,00000000-0000-0000-0000-000000000001,6bc1941f-b4b3-4f5e-8b26-8d0ed2d7ac25,7ea7fca2-f0bb-45da-9c16-464fbfa7ac57,a9c9303c-f514-46b8-a25c-e844c75ad9c9,1,200400,200400,new_purchase,Purchased new and consumed in resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-25 13:55:11.754+00
5b770a0a-37eb-41b3-8a4b-511f994e339e,00000000-0000-0000-0000-000000000001,6bc1941f-b4b3-4f5e-8b26-8d0ed2d7ac25,88dc5cc6-7338-402b-a444-4891ea25f01e,18b85671-907b-42c0-972c-51d70a056018,1,200400,200400,new_purchase,Purchased new and consumed in resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-25 13:55:12.115382+00
95a29340-37ce-43bc-bead-39ac32e753cb,00000000-0000-0000-0000-000000000001,87886ad5-efc3-47b9-8ef3-65cef3bd906a,80dc7bfc-2b8f-459b-86fa-76ff57c6ba8c,9a8197a4-4ef7-474f-bf6b-98b4e326f0de,1,300800,300800,new_purchase,Purchased new and consumed in resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-05-01 07:04:30.039061+00
94599b68-9131-4747-aef3-bec856dd3e9c,00000000-0000-0000-0000-000000000001,87886ad5-efc3-47b9-8ef3-65cef3bd906a,80dc7bfc-2b8f-459b-86fa-76ff57c6ba8c,e76d532e-4171-4489-98e5-0c2aa426c056,1,300800,300800,new_purchase,Purchased new and consumed in resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-05-01 07:04:45.012025+00
bb810ebd-fd9b-4330-83df-938d1193bb36,00000000-0000-0000-0000-000000000001,fc9e112d-5e63-4203-8b16-d7f1d68e10da,4a51368b-5efa-4531-881a-e60e893e75b0,865be09d-ccf4-488e-aeb5-750fe90fdf90,1,5001500,5001500,new_purchase,Purchased new and consumed in resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-05-12 04:59:38.275306+00
50602395-2454-4bc3-839b-b87e78861abc,00000000-0000-0000-0000-000000000001,8d86ddd2-88ae-48c2-8c5d-dfa12df947e1,80dc7bfc-2b8f-459b-86fa-76ff57c6ba8c,fc42e0ec-cc29-4376-9b53-a9897d69e309,1,300700,300700,new_purchase,Purchased new and consumed in resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-05-20 13:57:43.516186+00
