id,organization_id,tenant_id,allotment_id,adjustment_type,amount,reason,reference_number,adjustment_date,billing_month,property_id,apartment_id,bed_id,created_by,created_at,is_deleted,category,reference_type,reference_id,is_locked,locked_by
cafc2839-caf4-452f-b0a1-d190d9647541,00000000-0000-0000-0000-000000000001,251051cf-e3b5-5d37-918f-bf22b4875790,05a7138b-3291-401c-b2bf-28981d85d111,debit_note,353,Rental adjustment,null,2024-08-29,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,233cca0e-efcf-e631-d2fc-9997a6ba5706,0b49669f-6579-fa2c-a871-13f7c9f46ae6,null,2026-04-11 09:30:08.702357+00,false,others,null,null,false,null
51caad01-93e4-41af-adb8-c9ab3c8dee0b,00000000-0000-0000-0000-000000000001,251051cf-e3b5-5d37-918f-bf22b4875790,05a7138b-3291-401c-b2bf-28981d85d111,debit_note,268,Rental adjustment,null,2024-11-01,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,233cca0e-efcf-e631-d2fc-9997a6ba5706,0b49669f-6579-fa2c-a871-13f7c9f46ae6,null,2026-04-11 09:38:38.609308+00,false,others,null,null,false,null
e71469c0-fba2-4067-b17a-e2213df99fbf,00000000-0000-0000-0000-000000000001,251051cf-e3b5-5d37-918f-bf22b4875790,05a7138b-3291-401c-b2bf-28981d85d111,debit_note,240,Rental adjustment,null,2025-03-01,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,233cca0e-efcf-e631-d2fc-9997a6ba5706,0b49669f-6579-fa2c-a871-13f7c9f46ae6,null,2026-04-11 09:48:51.786071+00,false,others,null,null,false,null
0d3faf95-d354-4300-bc7f-17b624ef3300,00000000-0000-0000-0000-000000000001,8aacbc78-5e56-b3c0-f8bc-fcb5490b94f3,d06e259b-0f3f-4c09-bc77-00ec39ab5924,credit_note,2738,null,null,2024-01-13,2024-01,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,990e8a3e-a69c-7b31-f606-3eeb21e3d4c6,64cc49bd-a361-2d41-45ab-ba260eff90bc,null,2026-05-21 11:52:49.740229+00,false,rental_adjustment,null,null,false,null
47bb7a60-3b5e-4966-b237-2daf5fedadeb,00000000-0000-0000-0000-000000000001,c0791d4c-9325-bf1b-30af-7af648c26338,c55284ff-f120-4606-8d96-29c8ec1ce454,debit_note,12289,null,null,2026-02-01,2026-02,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,79853a4a-cb02-508c-e041-7e23378aec9c,e0a547db-d8f2-1e21-a742-6f7c135bd802,null,2026-05-27 10:29:39.865879+00,false,rental_adjustment,null,null,false,null
063c2490-b6d8-4b0e-9a62-067e21c75e4c,00000000-0000-0000-0000-000000000001,ba8dd5e0-ed0e-8b6a-7098-2732476feb31,31a1c073-bb44-4019-8548-0c5a8114de7b,credit_note,11000,Advance tra for ZOLO,null,2022-11-19,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,dc4adc21-f501-0573-2e9a-d7bbbc89e5d6,433269e6-beef-04d8-7738-12f887009657,null,2026-04-11 10:40:45.949316+00,false,others,null,null,false,null
e0583dc6-65e3-4de6-962f-eedd13e13742,00000000-0000-0000-0000-000000000001,1932ea80-c6eb-874e-eca8-12410fa7a608,7ce79ba5-79fe-49c0-9e0a-2ace149ffbd0,credit_note,19500,Advance TR form ZOLO,null,2025-01-01,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,c2ff0c11-4d1b-7b9b-b93c-aa37c9b6c40b,f060fd98-620b-0d6c-65cd-5090be241589,null,2026-04-11 11:17:14.977879+00,false,others,null,null,false,null
7eea6e08-d569-4088-9a6f-bb9c6a5ab5fa,00000000-0000-0000-0000-000000000001,073e4bd7-f1f1-49d3-604f-c365b9952a6c,e70ad66e-a26a-4c8b-a6e1-9743710c50f9,debit_note,800,null,null,2025-06-01,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,d2298bb8-a5e5-735a-c8ca-9b18c7daacd6,d0c84d1e-4238-9b66-8d10-7665d8e44980,null,2026-04-11 11:27:02.004229+00,false,guest_stay,null,null,false,null
2f11a618-14ea-4236-a095-dd872643a5be,00000000-0000-0000-0000-000000000001,03ce56c0-8798-b95d-7125-311b80363e74,90df3267-4239-48a4-89aa-4a61e24239bc,debit_note,70,null,null,2026-06-07,2026-06,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,417c9738-a0f7-5a00-1091-37a9fd083dd6,f9b73f69-33c8-b36d-daf6-c7078c00692c,null,2026-06-10 06:58:55.245309+00,false,cc_charges,null,null,false,null
87854be8-b57e-4054-8a18-5ae6ad2ad95a,00000000-0000-0000-0000-000000000001,8fd367e7-7404-4ef6-530b-a40219a48f1e,de3fc75a-dc8c-4bfb-b959-494a94a5d287,credit_note,310,"EB adjusted, but it was adjusted in deposit",null,2024-06-27,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,9d5d0096-0b78-a663-1142-be871dfa2bda,54634a96-25c7-022f-0239-fef1800aebd4,null,2026-04-12 18:11:18.851047+00,false,eb_credit,null,null,false,null
0f00c381-0206-43a5-b715-0bbd18a6fb4b,00000000-0000-0000-0000-000000000001,2794ccf7-4966-f00d-35d6-34ac17db73ea,29309a70-09a1-4c35-b877-ca27b04ec436,debit_note,1556,Credit card charges from 1/4/23 till Feb-24,null,2024-02-07,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,d2298bb8-a5e5-735a-c8ca-9b18c7daacd6,e5918d8e-46b0-075e-14d9-60f3b60511e3,null,2026-04-12 18:23:26.191813+00,false,cc_charges,null,null,false,null
7dd1b0af-5a5a-4577-82c9-e0507ad1e72c,00000000-0000-0000-0000-000000000001,d178a884-0bd1-601d-4cd1-042bac71c6db,f775eabb-5fcf-4725-8ffa-808159d48485,credit_note,11500,"Advance received from zolo
",null,2022-11-13,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,fb5cedd6-2992-1c62-7fba-4a7a6b43b2ff,9803c12a-e08e-d213-5575-c44623241381,null,2026-04-12 18:47:15.119056+00,false,others,null,null,false,null
d73e6ad9-4ecc-4afd-aa6c-842242aae24b,00000000-0000-0000-0000-000000000001,d178a884-0bd1-601d-4cd1-042bac71c6db,f775eabb-5fcf-4725-8ffa-808159d48485,credit_note,11388,"Amount adjusted with the deposit ",null,2023-09-03,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,fb5cedd6-2992-1c62-7fba-4a7a6b43b2ff,9803c12a-e08e-d213-5575-c44623241381,null,2026-04-12 19:17:24.703845+00,false,others,null,null,false,null
b5d9092b-4dc2-4ef6-a4dd-dfa8caa3661e,00000000-0000-0000-0000-000000000001,1fc0c3bb-f35c-8d5d-a4fa-a9c1723cd8ab,daa4363b-15ef-406b-adb8-5451eb652e2d,debit_note,31,Other Payments,null,2023-08-05,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,82b270bf-e567-2deb-5ef3-495baafd7645,b9880845-d37b-c083-ffd7-adcaa279cb30,null,2026-04-12 19:22:39.455803+00,false,others,null,null,false,null
2be7e77b-4fb0-4076-b97f-6e0e34c74965,00000000-0000-0000-0000-000000000001,696a4512-7d08-4e23-a774-91ee1afc42d1,5a78509d-339f-4045-a024-d2fe14b0f8b6,debit_note,615,Credit card processing fee on onboarding payment,null,2026-06-13,2026-06,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,bc7f358d-0d6d-f95f-ff80-9089eefdef69,9570bcbc-dd00-294f-7a17-6204b4b0a29b,8c42685b-f2df-4dec-96bd-0e77b715e33e,2026-06-15 05:43:16.645403+00,false,cc_charges,onboarding,5a78509d-339f-4045-a024-d2fe14b0f8b6,false,null
38aa967e-6dab-4752-84c7-cc663114d165,00000000-0000-0000-0000-000000000001,df5ea39c-c069-5211-271d-f0d3831adefa,3394785d-ad9b-442e-9c87-3ab4f47b1876,debit_note,400,Late Fees for Feb 26,null,2026-02-12,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,bde00681-ebfc-ef38-4f6e-4906a012de6b,3a185413-10c3-cb63-5dcd-e49b06ca0d51,null,2026-04-12 20:40:20.093044+00,false,late_fees,null,null,false,null
07803859-85ce-4c3c-a867-64b0f9b8c435,00000000-0000-0000-0000-000000000001,6162731a-4a9c-e887-e586-1ea574985777,f2f4757e-a36f-4615-8d08-78e18eccf3b7,credit_note,13000,Advance received from zolo times,null,2025-01-01,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,dd96a329-ec95-e96a-1348-69d976f39cd4,5dd54516-df42-d086-0eef-3495660d438f,null,2026-04-13 04:10:56.431968+00,false,others,null,null,false,null
8d3c4b5e-1bd9-4b48-aa55-8076255e6608,00000000-0000-0000-0000-000000000001,df5ea39c-c069-5211-271d-f0d3831adefa,3394785d-ad9b-442e-9c87-3ab4f47b1876,debit_note,100,null,null,2026-02-01,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,bde00681-ebfc-ef38-4f6e-4906a012de6b,3a185413-10c3-cb63-5dcd-e49b06ca0d51,null,2026-04-13 06:56:42.649964+00,false,late_fees,null,null,false,null
864aaac4-bc21-4ed7-b8c7-b6fbb72ee734,00000000-0000-0000-0000-000000000001,1422ace8-beea-6d1b-73fd-1d30597b40d5,cc479b4c-9ff2-4d88-8eff-9314403f6113,debit_note,7188,Exit settlement — ₹7188 excess rent applied to close tenant ledger (refunded with deposit),null,2026-06-04,2026-06,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,9d5d0096-0b78-a663-1142-be871dfa2bda,235bd597-22a1-f0f2-0d40-a0a2f59f41fd,8c42685b-f2df-4dec-96bd-0e77b715e33e,2026-06-24 07:42:26.484335+00,false,rental_adjustment,exit_excess_clearance,285db42f-8f6c-4a1c-8da9-ccd21c24aa0c,false,null
8ab85f4b-ad5d-4358-be4d-f4e8331cde98,00000000-0000-0000-0000-000000000001,e0174322-3fb7-483f-91a0-61b903ae3e49,e8538798-34a4-4d14-b1a1-7bf0f633ccee,debit_note,51,null,null,2026-07-04,2026-07,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,79853a4a-cb02-508c-e041-7e23378aec9c,e0a547db-d8f2-1e21-a742-6f7c135bd802,null,2026-07-10 10:41:51.349456+00,false,cc_charges,null,null,false,null
b7760109-96d4-4b91-a2af-c238b2d00897,00000000-0000-0000-0000-000000000001,71492154-2bd6-41d1-b8b8-3acec9cedd1f,2c97d0a2-8c5a-49ab-a12c-e9aeaa347808,credit_note,1,null,null,2026-07-13,2026-07,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,323c0dff-be56-f6ee-f053-ee37de806dea,cead0c81-cb47-a00d-6583-2032ac0d3b68,null,2026-07-13 07:25:15.435898+00,false,rental_adjustment,null,null,false,null
e275ec94-caa6-43ac-81be-dd84d2076355,00000000-0000-0000-0000-000000000001,c511ac63-cb7e-1453-92d5-ea4ffba1c360,53bd63b6-67b1-4de6-94a4-66b940e4e20a,debit_note,710,Car Parking Charges for 11 Days,null,2026-07-20,2026-07,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,233cca0e-efcf-e631-d2fc-9997a6ba5706,7dcf272d-a13c-9661-df5a-a6704de16ab8,null,2026-07-20 08:22:23.888213+00,false,others,null,null,false,null
e9525de4-f571-400d-a6bf-d25986526529,00000000-0000-0000-0000-000000000001,5fa2b264-379d-b6b2-9929-86237eb38f30,a3dc9118-c86d-4044-9933-2e34438e1e68,debit_note,13800,Jan to feb guest stay,null,2026-01-01,2026-01,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,bde00681-ebfc-ef38-4f6e-4906a012de6b,83a7b624-6ba5-7e9f-53eb-acd6d0ab5bb4,null,2026-04-16 11:41:54.667134+00,false,guest_stay,null,null,false,null
930e4ece-8035-4ee4-8aee-263d4739d5e1,00000000-0000-0000-0000-000000000001,2c1980eb-be51-916e-8f61-1e8fe83afb0c,345fd782-4252-4f02-958d-3531a545878b,debit_note,27,null,null,2025-12-01,2025-12,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2fc42a4f-fe5a-ae08-0e4e-2c89ca71db85,04c251ff-5d8d-dc9e-d27d-0a96efe3a6b3,null,2026-05-13 06:15:01.541587+00,false,referral_bonus,null,null,false,null
0a7b3bc4-a08a-45c1-885f-57149ff8b7c2,00000000-0000-0000-0000-000000000001,11316c38-dc08-4983-3588-fcadd88bd5d2,597a1580-9401-42ce-a407-c9448d5017f6,credit_note,1000,Onboding adjesment,null,2025-09-28,2025-09,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,0a839c14-2a88-9896-c2f2-8d51fe610405,74002291-4d86-7717-21fc-0a504d1080b7,null,2026-05-13 06:55:27.94756+00,false,rental_adjustment,null,null,false,null
