organization_id,allotment_id,tenant_id,deposit_paid,staying_status,actual_exit_date,note
00000000-0000-0000-0000-000000000001,4e78638f-65ec-472b-9991-cea4565d4ea7,9defe9e8-4059-ba6b-5abd-0d1304e73008,23250.00,Exited,2026-01-09,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,9353da56-208c-4158-959f-29d5aee289f3,f70ae790-e17b-aca8-a21a-82ddd895450b,21750.00,Exited,2024-12-23,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,e195680c-5ff9-464e-8228-089b76f4ea72,c0791d4c-9325-bf1b-30af-7af648c26338,23250.00,Exited,2025-10-02,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,6eae3c53-9212-4814-b991-b284ea8da158,3e50af3d-452f-d098-b3bc-3c2a64576d55,27750.00,Exited,2025-09-30,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,2df3f295-89b0-4f4b-a539-ea4fcd1c8df3,c0791d4c-9325-bf1b-30af-7af648c26338,20400.00,Exited,2023-11-18,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,0023d344-348b-4ab3-856d-5b51c7a199ca,5fee0a79-3970-704a-2332-f7c7598e86c1,21750.00,Exited,2025-02-18,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,b7aceab0-4b39-4425-925f-8cd493190e5d,edee54e5-b970-ea10-551f-b156c26d8f0a,21750.00,Cancelled,null,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,6beda474-f6a4-4444-aeee-9ac12318d295,de481a65-2fb4-4974-b7db-0ec990ea852d,21750.00,Cancelled,null,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,6c08a897-9cd6-4c0c-8e6b-5f5b02a1c6a7,c0791d4c-9325-bf1b-30af-7af648c26338,20400.00,Exited,2024-07-11,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,bdf14880-afb6-4bdb-b634-632673f135db,c0791d4c-9325-bf1b-30af-7af648c26338,21750.00,Exited,2025-06-25,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,841f2fd3-7364-4cc7-b1c0-35aa7cefee9f,6542b72b-196a-4538-a690-2db7cc212936,21750.00,Exited,2025-07-31,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,f6976df5-ab7b-4cb2-8ce9-e36efe843745,d77b5c1e-605d-6795-5eee-1e2f9b83e069,23250.00,Exited,2026-01-09,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,f848c7a4-dbda-4fab-8678-376064453b2f,c02eb961-2471-c285-9c28-fb9a12aaf70a,23250.00,Exited,2025-12-08,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,f76d2db9-0af5-4f15-bc7a-29fb9d0d2fa0,23f7ef5f-6b26-a104-b616-b438d7e9243c,19500.00,Exited,2024-05-31,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,3bb36569-1213-4fb1-9f1f-d40883261d63,2bd67002-1f8f-faff-efc5-5063dbedf10f,21750.00,Exited,2025-07-31,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,281a86e5-c57b-4be4-ba14-3ddb980553ce,edee54e5-b970-ea10-551f-b156c26d8f0a,21750.00,Cancelled,null,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,290d05d3-ab1b-4d62-b65b-41d05273cde7,5b45a840-9d6c-242e-0e2f-2e2c972c2eec,29250.00,Exited,2025-07-15,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,0682de36-4af4-428d-ae04-e9ea4257ddb0,e6dde6a9-4da9-d1a2-802a-faf5db207e8e,20250.00,Exited,2025-03-31,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,1c037a2c-6d79-4707-9be1-b01c51a1c336,11316c38-dc08-4983-3588-fcadd88bd5d2,21750.00,Exited,2025-09-27,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,a8f9f259-dbb0-4c18-8594-43ed8248f850,257579ca-bef0-99b8-f916-e518891ffdab,21750.00,Exited,2024-03-30,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,4dd63429-058d-4acd-b326-3620e2c9624b,e99afa10-6249-3f5b-4364-da75f89e34f9,20250.00,Exited,2026-01-31,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,57d1d250-caf0-4e54-afe7-757c96a4a181,890b32d9-f754-8150-5a18-8a21fcdf3828,28500.00,Exited,2025-12-13,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,14ec7431-95a9-40c9-b35f-afa87c3bd8fc,257579ca-bef0-99b8-f916-e518891ffdab,28500.00,Exited,2024-10-01,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,89e38df1-f4a2-4e81-9bff-b1f27d37faeb,2ac2da6e-0954-f906-32d7-a1f55477c590,21750.00,Exited,2026-01-31,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,6a566076-355d-47b3-840f-1ddcb740c496,d497808b-36e2-ea42-d247-85b4e409078c,21750.00,Exited,2026-01-09,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,86f462a2-856c-4214-90c9-478d801f7838,c0791d4c-9325-bf1b-30af-7af648c26338,23250.00,Exited,2026-01-06,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,976e5e3e-9aa9-464c-9f27-f8765ddb1380,c0791d4c-9325-bf1b-30af-7af648c26338,20250.00,Exited,2024-10-18,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,da5e646c-ad64-4c61-a484-163e722c0791,8aacbc78-5e56-b3c0-f8bc-fcb5490b94f3,20400.00,Exited,2023-08-10,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,b6d39ec4-f024-431b-9783-7b6485fc2a85,251051cf-e3b5-5d37-918f-bf22b4875790,21750.00,Exited,2024-12-31,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,d2a1b0e9-a573-4c99-8093-42240dbf6847,d6d33436-345a-e39c-9f8d-91c76dca514e,21750.00,Exited,2025-09-27,Deposit held with no live tenant relationship
00000000-0000-0000-0000-000000000001,84a6864a-847a-491d-9dcd-e98868d7063f,fc8a412e-e0d4-35e1-37fa-5f798b7dc7f4,23250.00,Exited,2025-07-31,Deposit held with no live tenant relationship
