id,expense_id,bed_id,organization_id,allocated_amount,created_at
b1159b41-8c1f-4f41-a584-2072766255c0,6391b7aa-6541-4c67-bda6-4981cbeab255,3adf68ca-04d2-f3f2-6459-8418efbb3e0a,00000000-0000-0000-0000-000000000001,375.0,2026-04-11 00:09:03.571139+00
35187492-63ec-44eb-9e92-7f74b8240d17,6391b7aa-6541-4c67-bda6-4981cbeab255,7a6a9299-de4c-2a5d-e8f7-c78170295aec,00000000-0000-0000-0000-000000000001,375.0,2026-04-11 00:09:03.571139+00
a525b8e7-3705-4ac9-a511-a03bad846566,794828ec-ff43-46e1-9354-59a7efb5fd80,3adf68ca-04d2-f3f2-6459-8418efbb3e0a,00000000-0000-0000-0000-000000000001,200.0,2026-04-11 00:09:03.571139+00
30e53ca2-943b-4dd4-bee5-273addbeee9a,794828ec-ff43-46e1-9354-59a7efb5fd80,7a6a9299-de4c-2a5d-e8f7-c78170295aec,00000000-0000-0000-0000-000000000001,200.0,2026-04-11 00:09:03.571139+00
b9e3c077-783a-4371-b093-2e38e30e8105,01d6b3a8-ec38-43eb-9dce-7d3b979247c5,3adf68ca-04d2-f3f2-6459-8418efbb3e0a,00000000-0000-0000-0000-000000000001,750.0,2026-04-11 00:09:03.571139+00
fda4cf77-2c4a-4587-99b3-c7cb24032ca1,01d6b3a8-ec38-43eb-9dce-7d3b979247c5,7a6a9299-de4c-2a5d-e8f7-c78170295aec,00000000-0000-0000-0000-000000000001,750.0,2026-04-11 00:09:03.571139+00
7ce1d41a-8f4e-45b3-a264-c57faa56aa1d,1fa47de6-794c-4670-9cc6-ca2ed3890e93,3adf68ca-04d2-f3f2-6459-8418efbb3e0a,00000000-0000-0000-0000-000000000001,300.0,2026-04-11 00:09:03.571139+00
239143ee-cddb-4b14-954c-b5bae0950a3f,1fa47de6-794c-4670-9cc6-ca2ed3890e93,7a6a9299-de4c-2a5d-e8f7-c78170295aec,00000000-0000-0000-0000-000000000001,300.0,2026-04-11 00:09:03.571139+00
a9dacc06-ea48-43dd-96f2-acc1970fc4a8,5c973536-9219-4dfe-9700-c4fe230d504a,3adf68ca-04d2-f3f2-6459-8418efbb3e0a,00000000-0000-0000-0000-000000000001,100.0,2026-04-11 00:09:03.571139+00
a2adbbe6-916c-47cd-8d3d-5c0c6225a9ef,5c973536-9219-4dfe-9700-c4fe230d504a,7a6a9299-de4c-2a5d-e8f7-c78170295aec,00000000-0000-0000-0000-000000000001,100.0,2026-04-11 00:09:03.571139+00
