allotment_id,organization_id,stored_balance,computed_balance,drift
349407f1-b9ed-4f70-9e10-33aa675f85e6,00000000-0000-0000-0000-000000000001,0,1245,-1245
0da14d53-61b8-4b58-b20e-46f13ee71f42,00000000-0000-0000-0000-000000000001,17750,0,17750
1cacd6fd-9817-46af-9577-9c4b39a706da,00000000-0000-0000-0000-000000000001,0,628,-628
cb58257c-05da-4740-9e71-a5571f113c54,00000000-0000-0000-0000-000000000001,0,36259,-36259
3ad8e654-ae8f-4a3a-9e19-21488f044425,00000000-0000-0000-0000-000000000001,0,31750,-31750
014f81be-2724-4302-8681-1c89fa734cce,00000000-0000-0000-0000-000000000001,8259.020000000019,17577.03,-9318.009999999981
fa47803a-157d-4335-ba90-f00c05d3c5e3,00000000-0000-0000-0000-000000000001,0,50699,-50699
4d3b5fa4-0bb1-45c9-ba28-b751ceb0e4cb,00000000-0000-0000-0000-000000000001,0,10904,-10904
0171a74b-f8cb-4ca3-88f7-4e403fe293a8,00000000-0000-0000-0000-000000000001,0,1000,-1000
250003c6-6d0b-4c20-8d6f-d08c5e2493c4,00000000-0000-0000-0000-000000000001,0,19900,-19900
61e8ab8c-3cbb-4815-ac41-eb07c4fd4cdc,00000000-0000-0000-0000-000000000001,0,20500,-20500
30d0f38e-d286-4331-8b0e-f2a6132e5cb3,00000000-0000-0000-0000-000000000001,0,24000,-24000
da0cb449-71d9-43bd-b4ee-69b6ed8c0f68,00000000-0000-0000-0000-000000000001,969,0,969
443012e2-1bde-493b-9e05-e6d366b5495b,00000000-0000-0000-0000-000000000001,0,32918,-32918
85e79c68-e122-41a5-8ee1-c3204600babb,00000000-0000-0000-0000-000000000001,0,23755,-23755
d969744b-e96f-4fc1-8f1f-45a8e825e590,00000000-0000-0000-0000-000000000001,0,21400,-21400
963cf5bf-9228-4f80-b0f3-4bca56cb47fc,00000000-0000-0000-0000-000000000001,0,31500,-31500
37b5c369-6a5d-4ee9-b59d-4728d328e0b0,00000000-0000-0000-0000-000000000001,0,5630,-5630
