organization_id,month,owner_rent_paid_or_accrued,note
00000000-0000-0000-0000-000000000001,2024-01-01,303000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-04-01,129000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2026-01-01,697725,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-01-01,129000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2024-02-01,303000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2024-07-01,303000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-01-01,474500,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-11-01,303000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-09-01,233000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2024-12-01,474500,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-11-01,730725,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-09-01,686000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-08-01,478000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-06-01,478000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2024-11-01,474500,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2024-09-01,336000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-06-01,233000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2026-03-01,664725,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-07-01,478000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2026-05-01,697725,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2024-08-01,303000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2024-04-01,303000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2024-06-01,303000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-05-01,233000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-04-01,474500,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-12-01,303000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-10-01,691000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-07-01,233000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-03-01,509500,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2026-02-01,697725,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-08-01,233000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2024-10-01,436000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-10-01,233000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2022-12-01,129000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2022-11-01,61000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-02-01,129000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2023-03-01,129000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-12-01,662725,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-02-01,474500,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2026-04-01,697725,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2024-03-01,303000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2026-06-01,697725,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2025-05-01,478000,Currently NOT included in get_universal_metrics.totalProfit
00000000-0000-0000-0000-000000000001,2024-05-01,303000,Currently NOT included in get_universal_metrics.totalProfit
