id,organization_id,entry_date,period,description,source_table,source_id,is_reversal_of,posted_at,posted_by,metadata
ffba0368-79ae-47de-9939-56f95959c9d2,00000000-0000-0000-0000-000000000001,2026-06-08,2026-06,REVERSAL of Deposit settlement — ed56c73a-cae3-42ae-8463-f29e85f01efa — Batch recompute settlement 2026-06-08 (EB double-count + split refund),deposit_settlements,ed56c73a-cae3-42ae-8463-f29e85f01efa,680d19d3-6533-4991-8d54-d4f8d123d8da,2026-06-08 14:23:50.993929+00,null,"{""reversal_reason"":""Batch recompute settlement 2026-06-08 (EB double-count + split refund)""}"
63695c9d-5613-46b0-8af9-0954b97ef1b5,00000000-0000-0000-0000-000000000001,2026-03-22,2026-03,Deposit settlement,deposit_settlements,ed56c73a-cae3-42ae-8463-f29e85f01efa,null,2026-06-08 14:23:50.993929+00,null,"{""recompute"":""batch 2026-06-08""}"
0b9a8b95-78db-4385-a44b-0f129378cd05,00000000-0000-0000-0000-000000000001,2026-06-08,2026-06,REVERSAL of Deposit settlement — d1617e3a-c50c-4ee2-bd49-01f1fecc9d88 — Batch recompute settlement 2026-06-08 (EB double-count + split refund),deposit_settlements,d1617e3a-c50c-4ee2-bd49-01f1fecc9d88,610ae8df-8640-4ba9-9504-f1150e29770c,2026-06-08 14:23:50.993929+00,null,"{""reversal_reason"":""Batch recompute settlement 2026-06-08 (EB double-count + split refund)""}"
06dc9cd5-27f4-4224-a470-f24a42bee5e8,00000000-0000-0000-0000-000000000001,2026-04-16,2026-04,Deposit settlement,deposit_settlements,d1617e3a-c50c-4ee2-bd49-01f1fecc9d88,null,2026-06-08 14:23:50.993929+00,null,"{""recompute"":""batch 2026-06-08""}"
3b3908db-e836-42df-8261-69a1096d9a00,00000000-0000-0000-0000-000000000001,2025-04-27,2025-04,Deposit settlement,deposit_settlements,58420155-e517-4499-a284-0a2de7c27285,null,2026-07-24 16:27:54.659414+00,null,"{""status"":""completed""}"
6c46e811-1e15-4496-9343-4fd94fdca094,00000000-0000-0000-0000-000000000001,2026-05-16,2026-05,Deposit settlement,deposit_settlements,ba01fbdb-fe0f-472f-b309-df9519320240,null,2026-07-24 16:27:54.659414+00,null,"{""status"":""completed""}"
9b396981-dd70-451b-816c-c6808d024985,00000000-0000-0000-0000-000000000001,2026-06-08,2026-06,REVERSAL of Deposit settlement — 04098a02-8be0-4b1e-8421-87823bf13904 — Batch recompute settlement 2026-06-08 (EB double-count + split refund),deposit_settlements,04098a02-8be0-4b1e-8421-87823bf13904,862da48a-fb4c-423f-8e58-a1ad7707a9b2,2026-06-08 14:23:50.993929+00,null,"{""reversal_reason"":""Batch recompute settlement 2026-06-08 (EB double-count + split refund)""}"
4b761ccc-cc93-40f6-b0bd-e3231309fc43,00000000-0000-0000-0000-000000000001,2024-06-27,2024-06,Deposit settlement,deposit_settlements,04098a02-8be0-4b1e-8421-87823bf13904,null,2026-06-08 14:23:50.993929+00,null,"{""recompute"":""batch 2026-06-08""}"
791642e0-5116-45dd-bc6f-943e8102b397,00000000-0000-0000-0000-000000000001,2026-06-08,2026-06,REVERSAL of Deposit settlement — 877ac705-5098-4771-894b-d73a87fe0333 — Batch recompute settlement 2026-06-08 (EB double-count + split refund),deposit_settlements,877ac705-5098-4771-894b-d73a87fe0333,4783f93f-349e-41e7-83c1-3b228c9d565f,2026-06-08 14:23:50.993929+00,null,"{""reversal_reason"":""Batch recompute settlement 2026-06-08 (EB double-count + split refund)""}"
dcbf3339-0ad5-4fae-a013-4bff233e6706,00000000-0000-0000-0000-000000000001,2024-10-10,2024-10,Deposit settlement,deposit_settlements,877ac705-5098-4771-894b-d73a87fe0333,null,2026-06-08 14:23:50.993929+00,null,"{""recompute"":""batch 2026-06-08""}"
