period,actual,hw,rev_estrend,ape_hw,ape_approved,approved_beats_hw
2025-03,2242184,1920710,2185174,14.337538756854922,2.5426102407295743,True
2025-04,2423713,2438858,2419064,0.6248677132977378,0.19181313959202265,True
2025-05,2649988,2611198,2623932,1.4637802133443623,0.9832497354705002,True
2025-06,2840893,2855777,2836780,0.5239197674815631,0.14477842002497102,True
2025-07,2752402,3039988,2951655,10.448546396928936,7.239240488853009,True
2025-08,2963647,2870248,2904546,3.151488689442434,1.9941983643801033,True
2025-09,3092396,3087320,3121713,0.16414456621985024,0.9480351158131107,False
2025-10,2897959,3216263,3116911,10.983730273616708,7.555386394355476,True
2025-11,2760389,2998396,2957731,8.622226794846668,7.149064860061389,True
2025-12,2570517,2856160,2836028,11.112278191507778,10.329089439984253,True
2026-01,2539549,2426904,2772496,4.43563010597551,9.172770440735736,False
2026-02,2720625,2560598,2604795,5.8819940271077416,4.257477601654032,True
2026-03,2774058,2811506,2754553,1.3499357259293066,0.7031215641489832,True
2026-04,2890610,2837007,2896856,1.8543836768017825,0.2160789591124365,True
2026-05,3153828,2921163,2952197,7.377225390858347,6.393214848748885,True
2026-06,3300730,3232643,3191247,2.062786110951214,3.316932920899316,False
2026-07,3337114,3200314,3327301,4.099350516644022,0.29405648113909205,True
2026-08,3159088,3518125,3263713,11.36521046580532,3.3118735533799626,True
