recommendation_id,opportunity,evidence_ids,why_it_matters,suggested_action,expected_kpi,confidence,data_limitation,owner_verify_required,provenance,as_of_date,guard_status
AIREC-VAC-DBL,Prioritize Double-sharing demand against Double vacant inventory,EV-VAC-DOU|EV-VAC-DOU-RISK|EV-DEM-DOU,"5 vacant Double beds carry Rs67,500/month revenue at risk, and 2 open Double-sharing leads exist now.",Prioritize the 2 open Double-sharing leads for the 5 vacant Double beds; log outcome per lead.,Double occupied beds / Double monthly revenue-at-risk,High,Lead intent is requested_bed_type only; no conversion probability implied.,False,VISHFUL_INTERNAL,2026-08,passed
AIREC-VAC-RISK,Prioritize the highest revenue-at-risk vacant beds,EV-VAC-TOTAL|EV-VAC-RISK,"14 vacant beds represent Rs196,200/month of revenue exposure.",Rank vacant beds by monthly revenue-at-risk and fill the highest-exposure beds first.,Monthly vacancy revenue-at-risk,High,Vacancy duration is approximate (bed_status_history missing).,False,VISHFUL_INTERNAL,2026-08,passed
AIREC-AMEN-AC,Highlight Vishful's verified AC in marketing content,EV-AMEN-AC|EV-MKT-AMEN-AC,"AC is verified present at Vishful and is publicly published on 3 first-party market sources, so it is a relevant market theme Vishful can evidence.",Consider featuring verified AC in Vishful marketing material.,Lead enquiries / campaign conversions,Medium,"No causal conversion evidence exists; market data is context only, not a comparison.",False,VISHFUL_INTERNAL+MARKET_CONTEXT,2026-08,passed
AIREC-AMEN-WIFI,Highlight Vishful's verified Wi-Fi in marketing content,EV-AMEN-WIFI|EV-MKT-AMEN-WIFI,"Wi-Fi is verified present at Vishful and is publicly published on 5 first-party market sources, so it is a relevant market theme Vishful can evidence.",Consider featuring verified Wi-Fi in Vishful marketing material.,Lead enquiries / campaign conversions,Medium,"No causal conversion evidence exists; market data is context only, not a comparison.",False,VISHFUL_INTERNAL+MARKET_CONTEXT,2026-08,passed
AIREC-VERIFY-FOOD,Owner-verify Vishful's own Food status before any marketing claim,EV-MKT-AMEN-FOOD,"'Food' is publicly published on 4 first-party market sources, but Vishful's own Food status is not established in Vishful data.",Verify Vishful's own Food provision internally before making any Food marketing claim.,Unavailable — required data/linkage does not currently exist,Low,Vishful own status unknown; do not advertise until verified.,True,MARKET_CONTEXT,2026-08,passed
AIREC-VERIFY-PARKING,Owner-verify Vishful's own Parking status before any marketing claim,EV-MKT-AMEN-PARKING,"'Parking' is publicly published on 3 first-party market sources, but Vishful's own Parking status is not established in Vishful data.",Verify Vishful's own Parking provision internally before making any Parking marketing claim.,Unavailable — required data/linkage does not currently exist,Low,Vishful own status unknown; do not advertise until verified.,True,MARKET_CONTEXT,2026-08,passed
AIREC-VERIFY-SECURITY,Owner-verify Vishful's own Security/CCTV status before any marketing claim,EV-MKT-AMEN-SECURITY,"'Security/CCTV' is publicly published on 2 first-party market sources, but Vishful's own Security/CCTV status is not established in Vishful data.",Verify Vishful's own Security/CCTV provision internally before making any Security/CCTV marketing claim.,Unavailable — required data/linkage does not currently exist,Low,Vishful own status unknown; do not advertise until verified.,True,MARKET_CONTEXT,2026-08,passed
AIREC-VERIFY-POWERBAC,Owner-verify Vishful's own Power backup status before any marketing claim,EV-MKT-AMEN-POWERBAC,"'Power backup' is publicly published on 1 first-party market sources, but Vishful's own Power backup status is not established in Vishful data.",Verify Vishful's own Power backup provision internally before making any Power backup marketing claim.,Unavailable — required data/linkage does not currently exist,Low,Vishful own status unknown; do not advertise until verified.,True,MARKET_CONTEXT,2026-08,passed
AIREC-AR-PRIORITY,Prioritize collections on high overdue-risk tenants,EV-AR-HIGH|EV-AR-HIGH-AMT,"104 tenants are at high overdue risk, with Rs1,807,652 of AR exposure.",Prioritize collection follow-up on the 104 high-risk tenants; log outcome per tenant.,Collectable AR recovered,High,"Settlement is UNRECONCILED (receipt_allocations missing); AR is ledger-based exposure, not confirmed loss.",False,VISHFUL_INTERNAL,2026-08,passed
AIREC-CHURN-WATCH,Engage High churn-risk tenants,EV-CHURN-HIGH,1 tenants fall in the High churn-risk band.,"Engage the 1 High-band tenants using the ranked watch-list (ranking, not a fixed cutoff).",Retained tenants / exits,Medium,Ranking-only (ROC-AUC ~0.72); not a yes/no prediction.,False,VISHFUL_INTERNAL,2026-08,passed
AIREC-EB-INVESTIGATE,Investigate possible-leak electricity candidates,EV-EB-LEAK,7 meters show occupancy-aware possible-leak signals.,Investigate the 7 flagged meters on site.,Confirmed-leak resolutions / EB loss,Medium,Abnormal consumption is NOT a confirmed leak; inspection required.,False,VISHFUL_INTERNAL,2026-08,passed
AIREC-MAINT-HOTSPOT,Prioritize high-confidence recurring maintenance hotspots,EV-MAINT-HOT,55 apartment-issue groups are High-priority recurring hotspots at high date-confidence.,Prioritize preventive action on the 55 high-confidence hotspots.,Repeat-ticket rate on hotspot apartments,High,Acts on date_confidence=high only; low-confidence recurrences excluded.,False,VISHFUL_INTERNAL,2026-08,passed
AIREC-INV-PROMOTE-DOUBLE,Promote available Vishful Double-sharing inventory,EV-VAC-DOU|EV-MKT-SHARE-2SHARING,"5 Double beds are currently available, and Double-sharing appears as a published configuration in public market listings.",Promote the 5 available Vishful Double beds in relevant channels.,Occupied beds of the promoted sharing type,Medium,Market configuration is context only; no competitor comparison implied.,False,VISHFUL_INTERNAL+MARKET_CONTEXT,2026-08,passed
