apartment_code,matched_months,invoiced_revenue,owner_rent,coverage_x,signal,investigation_prompts,basis,limitation
C12,39,1991525.0,2701000.0,0.74,Investigation signal — invoiced revenue below matched owner-rent obligation,"Is occupancy persistently low in this apartment? | Is invoicing incomplete or delayed for these periods? | Were there extended vacancy periods? | Is the recorded owner-rent obligation correct and current? | Were there ramp-up, closure, renovation or operational-transition periods? | Does the commercial lease arrangement deserve review?","invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
B24,30,1284955.97,1560000.0,0.82,Investigation signal — invoiced revenue below matched owner-rent obligation,"Is occupancy persistently low in this apartment? | Is invoicing incomplete or delayed for these periods? | Were there extended vacancy periods? | Is the recorded owner-rent obligation correct and current? | Were there ramp-up, closure, renovation or operational-transition periods? | Does the commercial lease arrangement deserve review?","invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
D11,39,2356371.0,2403400.0,0.98,Investigation signal — invoiced revenue below matched owner-rent obligation,"Is occupancy persistently low in this apartment? | Is invoicing incomplete or delayed for these periods? | Were there extended vacancy periods? | Is the recorded owner-rent obligation correct and current? | Were there ramp-up, closure, renovation or operational-transition periods? | Does the commercial lease arrangement deserve review?","invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
D12,28,1448781.0,1456000.0,1.0,Close to parity — monitor,(not flagged — no investigation prompted),"invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
A24,19,997659.14,972500.0,1.03,Close to parity — monitor,(not flagged — no investigation prompted),"invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
A11,10,689393.02,520000.0,1.33,Above matched owner-rent obligation,(not flagged — no investigation prompted),"invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
B31,20,1000627.0,700000.0,1.43,Above matched owner-rent obligation,(not flagged — no investigation prompted),"invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
A41,26,2758548.3,1919400.0,1.44,Above matched owner-rent obligation,(not flagged — no investigation prompted),"invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
A12,10,759807.0,520000.0,1.46,Above matched owner-rent obligation,(not flagged — no investigation prompted),"invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
B22,10,850837.0,520000.0,1.64,Above matched owner-rent obligation,(not flagged — no investigation prompted),"invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
C24,22,1262190.0,726000.0,1.74,Above matched owner-rent obligation,(not flagged — no investigation prompted),"invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
A23,21,1997139.0,1072500.0,1.86,Above matched owner-rent obligation,(not flagged — no investigation prompted),"invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
D21,10,1025272.0,520000.0,1.97,Above matched owner-rent obligation,(not flagged — no investigation prompted),"invoiced revenue (invoices.total_amount) vs owner-rent obligation (owner_payments.escalated_amount), matched apartment-months only","NOT profitability, NOT margin, NOT collected cash. One revenue line vs one cost line; no other operating cost is included. Owner rent is largely accrued rather than paid. Coverage above 1.0x does not indicate a favourable commercial outcome."
