issue_type_id,tickets,with_cost,total_cost,avg_cost_where_known
a5831922-eaeb-48c2-941c-fd96fae8813d,304,94,12500.0,132.9787234042553
47389994-b201-4bb1-bf91-8bce4dbde510,243,45,1128.0,25.066666666666666
28158382-d5c1-436c-927b-3e3d9855c2af,184,54,1120.0,20.74074074074074
e2aa2aaa-8af6-4807-9a4e-7665c5421eed,158,40,50.0,1.25
01208ba1-4225-4a61-be39-3afe03dad690,134,23,7080.0,307.82608695652175
caf6381e-5189-4c1f-bf0a-4dfd99d9b9e7,132,25,0.0,0.0
d76dd3bd-ccb7-4991-a01f-ce158dfe908e,126,16,0.0,0.0
abc84f5b-a950-406e-ab46-cefbe11df925,118,46,0.0,0.0
7917cc13-aaca-4558-a2c2-8be5cd8fc159,65,18,0.0,0.0
a25aca1b-211b-41d3-ab08-78bd2b9541e8,29,25,780.0,31.2
ec405235-70e9-407e-9aa2-b877f8f36af8,18,5,0.0,0.0
c5f1c3c0-af88-4c54-9730-ebffed128bc9,14,5,1948.0,389.6
f3614e6e-8394-40cd-bbb3-b1f78e9f17c2,8,2,0.0,0.0
54bc37a9-ef71-4e18-b896-593f71b161fa,7,5,0.0,0.0
