place_id,name,formatted_address,locality,pincode,lat,lng,phone,website,rating,review_count,primary_type,maps_uri,distance_km,radius_band,is_existing,is_new_candidate,source
osm:way/1001881540,Taj Wellington Mews,"TRIL Infopark Limited, Rajiv Gandhi Salai, Taramani, Chennai, 600113",Chennai,600113,12.9908993,80.2501304,+91 446614 8899,https://www.tajhotels.com/en-in/taj/taj-wellington-mews-chennai/,,,hotel,https://www.openstreetmap.org/way/1001881540,0.265,<= 1km,False,True,openstreetmap
osm:node/5225927542,Hotel City Gate,"123, LB Road, Near Jayanthi Signal, Thiruvanmiyur, Cosmopolitian Colony, Thiruvanmiyur,Chennai, 600041","Thiruvanmiyur,Chennai",600041,12.9878328,80.2556935,,,,,hotel,https://www.openstreetmap.org/node/5225927542,0.463,<= 1km,False,True,openstreetmap
osm:node/2587530815,Shakti Guest House,,,,12.9878627,80.2560045,,,,,guest_house,https://www.openstreetmap.org/node/2587530815,0.495,<= 1km,False,True,openstreetmap
osm:way/355901767,MM Hostel,,,,12.9880536,80.2568218,,,,,hostel,https://www.openstreetmap.org/way/355901767,0.577,<= 1km,False,True,openstreetmap
osm:way/355005407,Keys Kattima,"Kalakshethra Rd, Chennai, 600041",Chennai,600041,12.9902516,80.258567,,,,,hotel,https://www.openstreetmap.org/way/355005407,0.769,<= 1km,False,True,openstreetmap
osm:way/1082796172,The Institute of Mathematical Sciences Student Hostel cum Guest House Complex,,,,12.9955481,80.2469893,,,,,dormitory,https://www.openstreetmap.org/way/1082796172,0.884,<= 1km,False,True,openstreetmap
osm:way/1082796179,Godavari,,,,12.9958533,80.247312,,,,,dormitory,https://www.openstreetmap.org/way/1082796179,0.893,<= 1km,False,True,openstreetmap
osm:way/1082796167,Krishna,,,,12.996006,80.2470752,,,,,dormitory,https://www.openstreetmap.org/way/1082796167,0.921,<= 1km,False,True,openstreetmap
osm:way/1082796174,Palar,,,,12.9961743,80.247246,,,,,dormitory,https://www.openstreetmap.org/way/1082796174,0.928,<= 1km,False,True,openstreetmap
osm:way/1082796173,Tungabhadra,,,,12.9959903,80.2468923,,,,,dormitory,https://www.openstreetmap.org/way/1082796173,0.931,<= 1km,False,True,openstreetmap
osm:way/1082796169,Vaigai,,,,12.9961671,80.2469844,,,,,dormitory,https://www.openstreetmap.org/way/1082796169,0.942,<= 1km,False,True,openstreetmap
osm:way/1130590327,Holiday Inn Chennai OMR,,,,12.9804003,80.2530189,,,,,hotel,https://www.openstreetmap.org/way/1130590327,0.967,<= 1km,False,True,openstreetmap
osm:way/355663426,Asian College of Journalism - Hostel building,,,,12.9963447,80.2464504,,,,,hostel,https://www.openstreetmap.org/way/355663426,0.99,<= 1km,False,True,openstreetmap
osm:node/2017711131,Ginger Hotel,,,,12.990989,80.242128,,,,,hotel,https://www.openstreetmap.org/node/2017711131,1.049,<= 2km,False,True,openstreetmap
osm:node/12609203142,Swarna Sudarshan Serviced Apartments @ Adyar (Unit of Prohotel),,,,13.0045178,80.2513542,,,,,apartment,https://www.openstreetmap.org/node/12609203142,1.728,<= 2km,False,True,openstreetmap
osm:way/354835075,Turyaa,,,,12.973365,80.2510485,,,,,hotel,https://www.openstreetmap.org/way/354835075,1.738,<= 2km,False,True,openstreetmap
osm:node/9433769417,Jothi Apartments,,,,13.0048157,80.2512032,,,,,apartment,https://www.openstreetmap.org/node/9433769417,1.761,<= 2km,False,True,openstreetmap
osm:relation/5295903,Sharavathi,,,,12.990044,80.2346443,,,,,hostel,https://www.openstreetmap.org/relation/5295903,1.839,<= 2km,False,True,openstreetmap
osm:way/30038525,Taramani Guest House,,,,12.986801,80.2342488,044 2257 8450,https://tgh.iitm.ac.in/,,,guest_house,https://www.openstreetmap.org/way/30038525,1.894,<= 2km,False,True,openstreetmap
osm:way/30036622,Bose-Einstein Guest House,,,,12.9926271,80.2343362,,,,,guest_house,https://www.openstreetmap.org/way/30036622,1.912,<= 2km,False,True,openstreetmap
osm:node/4490505231,Lakshmi Nest,"6, 1st Canal Cross Street, Adyar, Chennai, 600020",Adyar,600020,13.0086025,80.2498155,+91 9841155561,http://lakshminest.com/,,,hotel,https://www.openstreetmap.org/node/4490505231,2.19,<= 3km,False,True,openstreetmap
osm:node/473396781,Esthell Continental Hotel,,,,13.007268,80.2594014,,,,,hotel,https://www.openstreetmap.org/node/473396781,2.203,<= 3km,False,True,openstreetmap
osm:node/1457114946,Le Waterina,,,,12.9732112,80.2650024,,,,,hotel,https://www.openstreetmap.org/node/1457114946,2.278,<= 3km,False,True,openstreetmap
osm:node/11095290935,Hotel Dhans,,,,12.9810213,80.2314397,,,,,hotel,https://www.openstreetmap.org/node/11095290935,2.356,<= 3km,False,True,openstreetmap
osm:way/131961845,Prithvi Apartments,,,,12.9677541,80.2536185,,,,,apartment,https://www.openstreetmap.org/way/131961845,2.371,<= 3km,False,True,openstreetmap
osm:node/1919926787,kaveri,,,,13.0124028,80.2396763,,,,,hostel,https://www.openstreetmap.org/node/1919926787,2.906,<= 3km,False,True,openstreetmap
osm:way/181579523,kaveri,,,,13.0126183,80.2397285,,,,,hostel,https://www.openstreetmap.org/way/181579523,2.925,<= 3km,False,True,openstreetmap
osm:way/181579515,VAIGAI HOSTEL,,,,13.0135926,80.2399276,,,,,hostel,https://www.openstreetmap.org/way/181579515,3.014,<= 5km,False,True,openstreetmap
osm:way/127552046,Mullai Ladies Hostel,,,,13.0127744,80.2370977,,,,,hostel,https://www.openstreetmap.org/way/127552046,3.076,<= 5km,False,True,openstreetmap
osm:way/1225677512,Thumbai Hostel - New Boys Hostel,600025,,600025,13.013758,80.2389041,+914422352257,https://ceg.annauniv.edu/ech/HostelConnect/#,,,hostel,https://www.openstreetmap.org/way/1225677512,3.079,<= 5km,False,True,openstreetmap
osm:relation/2421839,GANGAI,,,,13.0143736,80.2400679,,,,,hostel,https://www.openstreetmap.org/relation/2421839,3.087,<= 5km,False,True,openstreetmap
