source,topic,observation,evidence,business_implication,possible_vishful_action,disclaimer
review_intelligence_audit,AC,AC availability advertised on 3 first-party sites,market: phase3_market_signals.csv; own: maintenance_tickets #71 (AC Issues),Vishful HAS AC (verified) but it is also a top own-customer complaint (304 tickets) — marketing + operational reliability both matter.,Marketing: highlight verified AC. Operational: prioritise AC reliability first so the marketed feature holds up (own tickets).,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_intelligence_audit,Wi-Fi/Internet,Wi-Fi advertised on 5 first-party sites,market: phase3_market_signals.csv; own: maintenance_tickets #71 (Internet Issues),Vishful HAS Wi-Fi/Internet (verified) but it is also a top own-customer complaint (65 tickets) — marketing + operational reliability both matter.,Marketing: highlight verified Wi-Fi/Internet. Operational: prioritise Wi-Fi/Internet reliability first so the marketed feature holds up (own tickets).,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_intelligence_audit,Cleanliness/Housekeeping,Food advertised on 4 first-party sites,market: phase3_market_signals.csv; own: maintenance_tickets #71 (Cleaning Issues),Vishful HAS Cleanliness/Housekeeping (verified) but it is also a top own-customer complaint (118 tickets) — marketing + operational reliability both matter.,Marketing: highlight verified Cleanliness/Housekeeping. Operational: prioritise Cleanliness/Housekeeping reliability first so the marketed feature holds up (own tickets).,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_intelligence_audit,RO/Water,Food advertised on 4 first-party sites,market: phase3_market_signals.csv; own: maintenance_tickets #71 (RO Water Issues),Vishful HAS RO/Water (verified) but it is also a top own-customer complaint (134 tickets) — marketing + operational reliability both matter.,Marketing: highlight verified RO/Water. Operational: prioritise RO/Water reliability first so the marketed feature holds up (own tickets).,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_intelligence_audit,Laundry,Food advertised on 4 first-party sites,market: phase3_market_signals.csv; own: maintenance_tickets #71 (Washing machine Issue),Vishful HAS Laundry (verified) but it is also a top own-customer complaint (132 tickets) — marketing + operational reliability both matter.,Marketing: highlight verified Laundry. Operational: prioritise Laundry reliability first so the marketed feature holds up (own tickets).,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_intelligence_audit,Plumbing/Toilet,not a distinct market amenity signal,market: phase3_market_signals.csv; own: maintenance_tickets #71 (Plumbing),Vishful HAS Plumbing/Toilet (verified) but it is also a top own-customer complaint (126 tickets) — marketing + operational reliability both matter.,Marketing: highlight verified Plumbing/Toilet. Operational: prioritise Plumbing/Toilet reliability first so the marketed feature holds up (own tickets).,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_intelligence_audit,Electrical/Power,Power backup advertised on 1 first-party sites,market: phase3_market_signals.csv; own: maintenance_tickets #71 (Electrical Issues),Vishful HAS Electrical/Power (verified) but it is also a top own-customer complaint (184 tickets) — marketing + operational reliability both matter.,Marketing: highlight verified Electrical/Power. Operational: prioritise Electrical/Power reliability first so the marketed feature holds up (own tickets).,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_intelligence_audit,Furniture/Room quality,not a distinct market amenity signal,market: phase3_market_signals.csv; own: maintenance_tickets #71 (Furniture),Furniture/Room quality is a recurring own-customer pain point (158 tickets); market treats it as important.,Operational priority: reduce Furniture/Room quality complaints; then it becomes a marketing strength.,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_intelligence_audit,Food/Meals,Food advertised on 4 first-party sites,market: phase3_market_signals.csv; own: maintenance_tickets #71 (n/a),Food is publicly advertised in the market; Vishful food-service status is UNKNOWN (no meals evidence).,Product/service opportunity: EVALUATE a food add-on/partnership. Do NOT advertise food; do NOT claim Vishful lacks it.,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,maintenance,"maintenance: 14 reviews across 5 independent PGs (+14/-0, pain=1)","pgs=5, reviews=14, avg_specificity=0.75, consistency=1.0 | VERIFIED: 1,540 tickets; validated repeat hotspots",maintenance_cost/complaint_volume,Reinforces existing DEC-MAINT-PRIORITISE — review-derived supporting evidence (do NOT duplicate the decision),Decision support — not an automatic business decision. Market context only; no competitor ranking.
