candidate_name,property_type,gender,dashboard_locality,distance_km,distance_precision,within_1km,within_2km,within_3km,within_5km,official_url,official_site_verified,is_operator_or_aggregator,reject_as_pricing_source,monthly_rent_per_bed,sharing_type,AC,price_confidence,price_source_url,evidence,verification_status,real_property,name_source,collection_date
kalyani homestay,serviced_apartment,unknown,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,True,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
K S MENS P G HOSTAL,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Sasikala Paying Guest,pg_unknown_gender,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,,,,unknown,,no authoritative listing/own site found,identity_unconfirmed_no_first_party,unconfirmed,vishful_dashboard_screenshot,2026-08-14
VIJAY PAYING GUEST LUXURY HOSTEL,pg_unknown_gender,unknown,Adyar,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Zara co-living Space - Men's PG / Valasarvakkam,co_living,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,co-living men's PG (existing tracked); listings only,verified_real_no_first_party,real,vishful_dashboard_screenshot,2026-08-14
SAHITHYAN MEN'S PG,mens_pg,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,,,,unknown,,"described on directories (3-bed, meals); 'sahithyanpg.com' was hallucinated -> rejected",exists_described_no_first_party,real,vishful_dashboard_screenshot,2026-08-14
SRI LAKSHMI SRI LADIES PG,womens_pg,women,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Mens PG,mens_pg,men,Adyar,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Yube1 Emerald League - PG in Perungudi | Coliving PG,co_living,unknown,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,https://yube1.in/,True,True,True,,,,unknown,,operator portal (not independent competitor first-party price),verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
Ganapathi PG for Women - LB Road,womens_pg,women,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,,,,unknown,,no own site found,identity_unconfirmed_no_first_party,unconfirmed,vishful_dashboard_screenshot,2026-08-14
WowLife Coliving PFLG (Perungudi),co_living,unknown,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Zara Co-Living Space - Men's PG/ Thoraipakkam,co_living,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,co-living men's PG (existing tracked); listings only,verified_real_no_first_party,real,vishful_dashboard_screenshot,2026-08-14
Eden Coliving Space,co_living,unknown,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,co-living (existing tracked); listings only,verified_real_no_first_party,real,vishful_dashboard_screenshot,2026-08-14
Green Apple Residency,residential_apartment,unknown,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,Perungudi (existing tracked); listings only,verified_real_no_first_party,real,vishful_dashboard_screenshot,2026-08-14
