asset_id,asset_type,purchase_date,allocation_date,asset_start_date,date_source,asset_age_days,asset_age_years
19a0e9bf-7dd6-4e26-920e-d0ac74966dad,ACCL Device,2025-07-22,2025-07-22,2025-07-22,purchase_date,387,1.06
8fa5e424-97df-4062-af2a-09ba379e6edf,Air Conditioner,2025-07-30,2025-07-30,2025-07-30,purchase_date,379,1.04
6f1831db-0b4c-43f9-943c-4e86c3886b78,Air Conditioner,2025-07-30,2025-07-30,2025-07-30,purchase_date,379,1.04
dd6bc55f-e6a1-41d7-bce7-68bd0d6c57a1,Air Conditioner,2025-07-30,2025-07-30,2025-07-30,purchase_date,379,1.04
b6e08caf-ef6c-401e-aea3-9aae40ad802e,Center Table,2025-08-02,2025-08-02,2025-08-02,purchase_date,376,1.03
036bdbfd-838a-450a-8fd8-2dc15fe5cf66,Chair,,2026-04-10,2026-04-10,allocation_date,125,0.34
9a45eaab-0189-4c01-ac2e-760572f9f8f7,Chair,,2026-04-10,2026-04-10,allocation_date,125,0.34
c362003c-8c15-4081-83b2-ff5f5e2c7543,Chair,,2026-04-10,2026-04-10,allocation_date,125,0.34
a5794637-86ae-451a-8d34-3144f607e882,Chair,,2026-04-10,2026-04-10,allocation_date,125,0.34
fb2aa759-2387-4f58-a3bf-24039f4257f3,Chair,,2026-04-10,2026-04-10,allocation_date,125,0.34
cadf4d20-6175-488e-a43d-0b576b0dab41,Cot (Bed Frame),2025-08-02,2025-08-02,2025-08-02,purchase_date,376,1.03
78b920d6-8cc8-4b2d-bbce-e4cd9994c9bb,Cot (Bed Frame),2025-08-02,2025-08-02,2025-08-02,purchase_date,376,1.03
d3683ae9-c040-43cc-9dec-c38c8e0256db,Cot (Bed Frame),2025-08-02,2025-08-02,2025-08-02,purchase_date,376,1.03
88dfc5e7-907f-4d95-98f3-276d25e87e54,Cot (Bed Frame),2025-08-02,2025-08-02,2025-08-02,purchase_date,376,1.03
133da128-0332-4e15-841a-3e8660d0fcc8,Cot (Bed Frame),2025-08-02,2025-08-02,2025-08-02,purchase_date,376,1.03
be0ac6d2-f768-464a-a169-14cf9edc0208,Cupboard,,2026-04-10,2026-04-10,allocation_date,125,0.34
68860f81-f27c-49be-8910-252e4a179dab,Cupboard,,2026-04-10,2026-04-10,allocation_date,125,0.34
