apartment_id,AC,AC_count,Hot water,Hot water_count,RO water,RO water_count,Refrigerator,Refrigerator_count,Washing machine,Washing machine_count,TV,TV_count,Kitchen,Kitchen_count,Fan,Fan_count
03edc7c5-4c46-b55e-523d-9fb7be29910b,present,7,present,7,present,1,present,1,present,1,present,1,present,2,present,8
0a839c14-2a88-9896-c2f2-8d51fe610405,present,6,present,5,present,1,present,1,present,1,unknown,0,present,2,present,7
10c6863d-07c3-4fc4-94f9-6adc29157ce1,present,7,present,6,present,1,present,1,present,1,present,1,present,2,present,8
188aee4d-68e0-1ddb-38e6-a946bc75072d,present,5,present,6,present,1,present,1,present,1,present,1,present,2,present,6
1b4d1066-8fe4-199b-7b3b-39e4bded9714,present,7,present,7,present,1,present,1,present,1,unknown,0,present,1,present,8
211a2b33-4e94-3da1-7d97-406bc26036f5,present,5,present,5,present,1,present,1,present,1,unknown,0,present,2,present,6
233cca0e-efcf-e631-d2fc-9997a6ba5706,present,5,present,5,present,1,present,1,present,1,present,1,present,2,present,6
2fc42a4f-fe5a-ae08-0e4e-2c89ca71db85,present,7,present,7,present,1,present,1,present,1,present,1,present,2,present,8
323c0dff-be56-f6ee-f053-ee37de806dea,present,5,present,3,present,1,present,1,present,3,present,1,present,2,present,6
417c9738-a0f7-5a00-1091-37a9fd083dd6,present,4,present,5,present,1,present,1,present,1,present,1,present,2,present,5
49ed1c8e-3653-c89b-ec74-16d8e20bb923,present,5,present,5,present,1,present,1,present,1,present,1,present,2,present,6
4d1dd99b-b75a-70b5-406b-f5e869954002,present,1,unknown,0,present,1,present,1,present,1,unknown,0,present,2,unknown,0
574de174-c7bb-bc11-f282-cff2aa2501c5,present,6,present,2,present,1,present,1,present,3,present,1,present,2,present,6
5d204545-2f72-b89b-3190-a826b5ab6512,present,5,present,5,present,1,present,1,present,1,unknown,0,present,2,present,6
77c3a6fd-4651-d880-29aa-abd19c8324df,present,7,present,4,present,1,present,1,present,1,unknown,0,present,1,present,8
79853a4a-cb02-508c-e041-7e23378aec9c,present,8,present,4,present,2,present,1,present,1,unknown,0,present,2,present,8
82b270bf-e567-2deb-5ef3-495baafd7645,present,5,present,5,present,1,present,1,present,1,present,1,present,2,present,6
85292340-826d-52c1-65c7-7f2a9eb2c2c4,present,7,present,5,present,1,present,1,present,1,unknown,0,present,2,present,7
86ad1ceb-8d81-a926-d998-3a2f1cafba06,present,5,present,3,present,1,present,1,present,1,unknown,0,present,2,present,9
8767525e-d22f-a295-bc29-ba104fdc589a,present,4,present,5,present,1,present,1,present,1,unknown,0,present,2,present,5
990e8a3e-a69c-7b31-f606-3eeb21e3d4c6,present,5,present,4,present,1,present,1,present,1,present,1,present,2,present,6
9d5d0096-0b78-a663-1142-be871dfa2bda,present,5,present,5,present,1,present,1,present,1,present,1,present,2,present,6
a361bd0d-c2c1-2aee-6303-d65de004edd0,present,5,present,3,present,1,present,1,present,1,present,1,present,2,present,9
aa73cade-c28c-dc5b-5980-55801ea0d415,present,5,present,6,present,1,present,1,present,1,present,1,present,2,present,5
b0875d50-a469-821b-57c3-03ac62809198,present,5,present,3,present,1,present,1,present,1,unknown,0,present,2,present,6
b0d4d2c8-f6ee-bc16-ffd7-fc33c8db8571,present,5,present,5,present,1,present,1,present,1,unknown,0,present,2,present,6
bc7f358d-0d6d-f95f-ff80-9089eefdef69,present,5,present,5,present,1,present,1,present,1,present,1,present,2,present,6
bde00681-ebfc-ef38-4f6e-4906a012de6b,present,5,present,5,present,1,present,1,present,1,present,1,present,2,present,6
c17c5093-48b7-139f-ebfc-1cd33ef5179c,present,5,present,4,present,1,present,1,present,1,present,1,present,2,present,6
c2ff0c11-4d1b-7b9b-b93c-aa37c9b6c40b,present,7,present,5,present,1,present,1,present,1,unknown,0,present,2,present,4
d2298bb8-a5e5-735a-c8ca-9b18c7daacd6,present,8,present,5,present,1,present,1,present,2,present,1,present,3,present,5
dc4adc21-f501-0573-2e9a-d7bbbc89e5d6,present,6,present,6,present,1,present,1,present,1,present,1,present,2,present,3
dd96a329-ec95-e96a-1348-69d976f39cd4,present,8,present,8,present,1,present,2,present,1,present,1,present,2,present,5
fb5cedd6-2992-1c62-7fba-4a7a6b43b2ff,present,5,present,5,present,1,present,1,present,1,present,1,present,2,present,6
ffbd5fe0-d9b3-cb55-cfd7-2d72a3498109,present,5,present,5,present,1,present,1,present,1,unknown,0,present,2,present,6
