property_id,property_name,source_url,is_first_party,segment,locality,pincode,sharing_type,ac,room_class,monthly_rent_inr,price_status,price_grain_quality,rent_basis,inclusions,extra_charges,verbatim_quote
pg01,Diyaa Paying Guest,https://menspg.in/,True,men,"Indira Nagar, Adyar",600020,single,ac,unknown,16000.0,published,full_by_sharing,"all-inclusive per bed/month, rate for stay >3 months (1mo=2x, 2mo=1.5x)","WiFi, R.O water, housekeeping",Electricity per TN Commercial Tariff,"AC Single Sharing (1 person): Rs. 16,000"
pg01,Diyaa Paying Guest,https://menspg.in/,True,men,"Indira Nagar, Adyar",600020,two,ac,unknown,8000.0,published,full_by_sharing,"all-inclusive per bed/month, rate for stay >3 months (1mo=2x, 2mo=1.5x)","WiFi, R.O water, housekeeping",Electricity per TN Commercial Tariff,"AC Two Sharing (2 persons): Rs. 8,000"
pg01,Diyaa Paying Guest,https://menspg.in/,True,men,"Indira Nagar, Adyar",600020,three,ac,unknown,6500.0,published,full_by_sharing,"all-inclusive per bed/month, rate for stay >3 months (1mo=2x, 2mo=1.5x)","WiFi, R.O water, housekeeping",Electricity per TN Commercial Tariff,"AC Three Sharing (3 persons): Rs. 6,500"
pg01,Diyaa Paying Guest,https://menspg.in/,True,men,"Indira Nagar, Adyar",600020,four,ac,unknown,6000.0,published,full_by_sharing,"all-inclusive per bed/month, rate for stay >3 months (1mo=2x, 2mo=1.5x)","WiFi, R.O water, housekeeping",Electricity per TN Commercial Tariff,"AC Four Sharing (4 persons): Rs. 6,000"
pg01,Diyaa Paying Guest,https://menspg.in/,True,men,"Indira Nagar, Adyar",600020,single,non_ac,unknown,11000.0,published,full_by_sharing,"all-inclusive per bed/month, rate for stay >3 months (1mo=2x, 2mo=1.5x)","WiFi, R.O water, housekeeping",Electricity per TN Commercial Tariff,"Non-AC Single Sharing: Rs. 11,000"
pg01,Diyaa Paying Guest,https://menspg.in/,True,men,"Indira Nagar, Adyar",600020,two,non_ac,unknown,6500.0,published,full_by_sharing,"all-inclusive per bed/month, rate for stay >3 months (1mo=2x, 2mo=1.5x)","WiFi, R.O water, housekeeping",Electricity per TN Commercial Tariff,"Non-AC Two Sharing: Rs. 6,500"
pg01,Diyaa Paying Guest,https://menspg.in/,True,men,"Indira Nagar, Adyar",600020,three,non_ac,unknown,5500.0,published,full_by_sharing,"all-inclusive per bed/month, rate for stay >3 months (1mo=2x, 2mo=1.5x)","WiFi, R.O water, housekeeping",Electricity per TN Commercial Tariff,"Non-AC Three Sharing: Rs. 5,500"
pg01,Diyaa Paying Guest,https://menspg.in/,True,men,"Indira Nagar, Adyar",600020,four,non_ac,unknown,5000.0,published,full_by_sharing,"all-inclusive per bed/month, rate for stay >3 months (1mo=2x, 2mo=1.5x)","WiFi, R.O water, housekeeping",Electricity per TN Commercial Tariff,"Non-AC Four Sharing: Rs. 5,000"
pg02,Sumathi Illam,https://mypgatchennai.com/,True,men,,,unknown,unknown,dormitory,3500.0,published,by_room_class,per bed/month by ROOM CLASS (not by sharing count),attached toilet & bathroom,food optional extra (B 1000/L 1100/D 1000),"Dormitory: Rs.3,500/-"
pg02,Sumathi Illam,https://mypgatchennai.com/,True,men,,,unknown,non_ac,non_ac,4500.0,published,by_room_class,per bed/month by ROOM CLASS (not by sharing count),attached toilet & bathroom,food optional extra (B 1000/L 1100/D 1000),"Non-AC Room: Rs.4,500/-"
pg02,Sumathi Illam,https://mypgatchennai.com/,True,men,,,unknown,ac,ac,5000.0,published,by_room_class,per bed/month by ROOM CLASS (not by sharing count),attached toilet & bathroom,food optional extra (B 1000/L 1100/D 1000),"AC Room: Rs.5,000/-"
pg03,Feel At Home Ladies Hostel,https://www.hostelforladies.com/,True,women,Perungudi / Thoraipakkam OMR,600096/600097,unknown,unknown,unknown,,unknown,floor_only,floor only,"AC, WiFi, locker, separate EB meter, kitchen",EB separate meter,"Rent Starts from Rs.6200 (floor only, not grain-specific)"
pg04,TSP PG Accommodation (Boys),https://tsppgaccommodation.com/,True,men,Thiruvanmiyur,,unknown,unknown,unknown,,unknown,none,none published,"AC/Non-AC, WiFi",,"No price on site; ""Enquiry Now & Get Quote"" (9841108085 / 24483085)"
pg05,Kripa Homes PG (Men),https://kripahomes.com/pg-thiruvanmiyur/,True,men,"Kamaraj Nagar, Thiruvanmiyur",600041,unknown,unknown,unknown,,unknown,none,none published,attached bathroom,,"Sharing tiers shown, no price; contact 8015113713 / sales@kripahomes.com"
pg06,Emy PG Accommodation (Men),https://emypgaccommodation.in/,True,men,"Thiruvanmiyur (14 units), Adyar (3), Besant Nagar (1), Semmancheri (1)",,unknown,unknown,unknown,,unknown,none,none on homepage,24x7 WiFi,,No price displayed on homepage; 'View Units' links only (98402 28776 / 93812 74173)
pg07,Sri Maha Hostels (Ladies),https://www.srimahahostels.com/our-branches.php,True,women,"Kamaraj Nagar, Thiruvanmiyur",600041,unknown,unknown,unknown,,unknown,none,none published,"24/7 CCTV, organic meals",,No price on branches page; contact 9080600914
pg08,Tidel Hostel (Co-ed),https://tidelhostel.com/,True,co-ed,"Kamaraj Nagar West, Thiruvanmiyur",600041,unknown,unknown,unknown,,unknown,none,none published,veg/non-veg food,,"Single AC/non-AC, double, four-sharing referenced; no rates shown"
pg09,Sri Mahalakshmi PG (Men),https://mahalakshmipgaccommodation.com/,True,men,Perungudi,600096,unknown,unknown,unknown,,unknown,none,none published,"WiFi, meals, laundry, 24/7 security, parking",,Sharing 2/3/4/5 + AC/non-AC referenced; no rates shown; contact 7838889393
